smiles,PI3K-beta,PI3K-alpha,PI3K-delta,PI3K-gamma
Cc1cc(-c2ccn3nc(N)nc3c2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,1,0,1,1
CC(=O)Nc1nc2cc(-c3cc(C)c4c(c3)CN([C@@H](C)C3CC3)C4=O)ccn2n1,1,0,1,1
Cc1cc(-c2ccc3nc(N)nn3c2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,1,0,1,1
CC(=O)Nc1nc2ccc(-c3cc(C)c4c(c3)CN([C@@H](C)C3CC3)C4=O)cn2n1,1,0,1,1
Cc1cc(-c2ccc3nc(N)cn3n2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,1,0,1,1
CC(=O)Nc1cn2nc(-c3cc(C)c4c(c3)CN([C@@H](C)C3CC3)C4=O)ccc2n1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)cc2)c1,1,0,1,1
CC(C)c1cc(-c2c(N)nn3ccc(-c4cc5c(c(C(F)(F)F)c4)C(=O)N([C@@H](C)C4CC4)C5)nc23)ccc1C(=O)O,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1ccccn1,1,0,1,1
CC(C)c1cc(-c2cnn3ccc(-c4cc5c(c(C(F)(F)F)c4)C(=O)N([C@@H](C)C4CC4)C5)nc23)ccc1C(=O)O,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)CN4C[C@@H](C)O[C@@H](C)C4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
Cn1nc(-c2cnc(N)c(-n3cc(C(N)=O)cn3)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
COc1ncc(-c2cc3c(c(CC(=O)CN4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1cc(F)cc(F)c1,1,0,1,1
C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(-c5cnn(C)c5)c4n3)cc(C(F)(F)F)c2C1=O,1,0,1,1
Cn1nc(-c2cnc(N)c(-c3cn[nH]c3)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(C#CCN2CCN(C(C)C)CC2)c1,1,0,1,1
CC(=O)Nc1nc(C)c(-c2cc(Cl)c3c(c2)CN([C@H](C)C2CC2)C3=O)s1,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1cncc(F)c1,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1ccccc1,1,0,1,1
Cn1nc(-c2cnc(N)c(-c3ccc(C(N)=O)c(F)c3)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
CC(=O)Nc1nc(C)c(-c2cc3c(c(NS(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,1,1,1,1
Cn1nc(-c2cnc(N)c(-n3ncc4ccccc43)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
Cn1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nc1C1(S(C)(=O)=O)CC1,1,0,1,1
